productId,name,price,image,shortDescription,longDescription
11,"DC Ply 2020 Snowboard Board",240,/images/dc-snowboard.jpg,"With a lightweight core and true-twin shape, the DC snowboard will take your park skills to the next level for the 2020 winter season.","Technical parks and features are no match for the DC Ply Snowboard. Featuring DC's Lock & Load Camber, a Stratus Core, and Tear The Roof Off Construction, this is one park ripper that won't let you down when you decide to step up to the bigger park. Designed for a skate-like feel, the Ply has a 3 Degree Bevel that'll boost your confidence on slide tricks while reducing the chance of catching an edge while you're mobbing down to the lodge to recharge."
12,"K2 WWW 2020 Snowboard",228,/images/k2-snowboard.jpg,"The one board to build your quiver around. Carefully calculated in design, this is the perfect tool if you’re looking for a go-anywhere, do-anything snowboard.","Easy name to remember, even easier board to ride. The K2 WWW 2020 Snowboard's JibTip shape helps reduce swing weight while providing a long running length for maximum control. Easy flex and comfortable in the streets and in the park."
13,"K2 Maysis 2021 Snowboard Boots",310,/images/k2-boots.jpg,"When you're MO is to make the mountain feel as molehill as an inanimate object can feel, the K2 Maysis is there to assist your stomp. ","The K2 Maysis Snowboard Boots are the best-selling boots in the world for a reason. They've got a super smooth flex that's just on the al dente side of medium, backed up by a double reel Boa system. The Intuition Control liner is super comfy and has a precision fit, and the whole boot is made with K2 s top of the line Endo 2.0 construction. It's like an All-Star team of boot components. Each piece has been hand selected for quality and mass appeal, and integrated with perfection into a true masterpiece of bootsmanship."
14,"Adidas Premiere Riding Jacket - Carbon",126,/images/adidas-jacket.jpg,"Swing down sweet cherry top. You don't even have to change when you get done ripping the powder all day.","The Premiere Riding jacket has the sleekly-stowed technological features you'll need on the hill but is also civilian-life-appropriate. Now you don't have to be the guy who always has tp throw something in your friends car or the guy who carries a bulky coat around all night at the bar."
15,"Salomon Womens Lotus 2020 Snowboard",240,/images/salomon-snowboard.jpg,"BiteFree edges and a forgiving Flat Out Camber make the Salomon Womens Lotus 2020 Snowboard a low consequence option for creative riding.","Camber under the back foot for explosive turning capabilities. Quadratic Sidecut blends elliptic curves for easy turn initiation, and fluid edge to edge transitions. Flat segments under the front foot for freedom on fun pow days.  "
16,"Arbor Cypress Snowboard Bindings",213,/images/bindings.jpg,"Designed for riders who prefer their features big and runs rowdy. The Arbor Cypress 2020 Snowboard Binding is a freeride design you can put through the ringer. ","The Cypress is a freeride design for riders who like their lines a little more rowdy and their playgrounds bigger. We've created a powerful binding by stiffening our exclusive System X Baseplate with double the fiberglass; adding a lighter, stiffer and more laterally supportive highback; and beefing up the outsole. That translates into high-speed, big-mountain performance."
17,"K2 Sonic 2021 Snowboard Bindings",160,/images/k2-bindings.jpg,"The softer side of Sonic offer a bit more flex and the ProFusion&trade Chassis that K2 has made famous.","Simple, tough, and lightweight, the ProFusion™ chassis is the go-to standard in the K2 binding collection. On-board tool-less power ramp and toe strap adjustments to help dial in the perfect fit and ideal power transfer. Angled inward 3 degrees to match your natural leg position during riding, the footbeds provide more support to the outside of the foot for improved control, ollie, and pop. This reduces fatigue allowing you to ride longer and stronger."
18,"K2 Bright Lite 2020 Snowboard",228,/images/k2-bright-snowboard.jpg,"Designed to be the female-specific quiver of one, the K2 Womens Bright Lite 2020 Snowboard is your go-to shred everything and do it all shape.","A beacon of all-mountain progression, the K2 Bright Lite Snowboard's Directional Rocker Baseline™ makes navigating the entire mountain easy with its mellow rocker and catch-free tip and tail. The softer flexing women's specific Rhythm Core™ is forgiving and playful, making the Bright Lite a fantastic board for up and coming riders who want to discover the entirety of their playground. An all-purpose profile designed to be the perfect companion for the all-terrain snowboarder. Directional Rocker Baseline™ has a medium-rise in the tip and a lower rise in the tail, allowing for effortless turns on hardpack and ample float in soft snow and crud."
19,"Channel Islands Surf Ultra Joe Hybrid",690,/images/ultra-joe.jpg,"Pure business in the front and all party in the back. Get forward on this user-friendly board and drive from the center and you’ll have all the speed and flow you always desired.","A few years back, we built the Average Joe to be a fun, simple, easy-to-ride board and it became one of our top sellers. For 2019, after rounds of customer feedback and team testing, we’ve created a souped-up, sleeker version…the Ultra Joe. The Ultra Joe boasts foiled rails, a double-bump squash tail, narrower nose with an updated rocker profile, and additional exit rocker. The result is a progressive step forward for beginner/intermediate surfers while at the same time is an inviting step down for average to good surfers seeking something fun and cruisy on the smaller, weaker days. Despite all these changes, one thing remains the same: the fun factor."
20,"Sharpeye Storms Surfboard",645,/images/sharpeye-snowboard.jpg,"Glide through flat sections with ease on the Storms and make it your new go-to board!","This is the new Kanoa Igarashi pro model for small to medium waves. Kanoa helped japan to win the gold medal on the ISA games riding his prototype in very small conditions. This design was based on the original disco inferno squash. We basically added more area to the nose and created a bump squash on the outline for easier tight turning. We increased the nose thickness pushing the volume forward and kept the same rocker and concaves as the original disco inferno. This board glides through flat sections and it can easily turn in the tighter sections of the wave making a new go to board for all QS warriors."
21,"FCS II Reactor PC Carbon Tri Fin Set",115,/images/fcs-fin.jpg,"All about speed and agility. Paired with a Performance Carbon Core, what you get is a super dynamic fin ready to slash and pivot with ease.","Dynamic RTM construction with strategically placed carbon compliments the template and sweep angle of the fin, and produce a bespoke flex pattern with remarkable memory properties. In the water this translates to immediate response when loading up the fins and driving through turns. PCC fins suit fast surfing and are favored by power surfers who like to perform explosive turns on critical parts of the wave. Fins with AirCore Technology feature a pressed polyurethane foam core that mimics the geometric foil of the fin. AirCore technology reduces the amount of fiberglass required in the RTM moulding process making it much lighter while allowing total manipulation of the flex."
22,"O'Neill Psycho Tech Zip Wetsuit",480,/images/men-wetsuit.jpg,"The cold water suit you need to expand your horizons beyond your usual surf spots.","Stitch-less seam technology and TechnoButter 3 neoprene make for unrivaled flexibility, and say goodbye to cold water flushing; F.U.Z.E. chest closure and Z.E.N. back closure systems incorporate anti-flush barriers with drain holes to keep you warmer for longer. O'Neills exclusive, maximum stretch, hydrophobic neoprene with featherlight ENVY foam rubber core. Ultimate warmth and comfort, built to last. Exclusive F.U.Z.E. (Front Upper Zip Entry) system offers a fresh alternative. Using the same free floating zipper technology as the patented Z.E.N. ZIP closure. The F.U.Z.E. closure keeps you dry and allows unrestricted flexibility."
23,"Sisstrevolution Seas Zip Wetsuit - Women's",239,/images/womens-wetsuit.jpg,"Don't let chilly water get you down, slip into the Sisstrevolution 3/2 7 Seas Back Zip Wetsuit and get after it.","Lesser mortals may fear the cold but with super stretchy, soft limestone based neoprene for unparalleled freedom of movement, glued and bindstitched seams and Glideskin on the neck you'll stay watertight, warm and comfortable. Back zip entry makes it a breeze to pull on and off, while Supratex knee pads provide extra durability without restricting flexibility. Surf's up, sister! 100% Super Stretch Light Limestone Based Neoprene. Thermal Hollow Fiber Lining Insulates and Dries Fast. bluesign®-Approved Dope-Dyed Fabric – Softer, more eco-friendly, and more durable than traditional neoprene."
24,"Softech Kyuss Fish FCS II Surfboard",280,/images/softech-surfboard.jpg,"A flat and fast small wave killer with impeccable turn capabilities. The Softech Kyuss Fish FCS II Surfboard delivers!","With its swallow tail and tri fin setup, this board is easy to initiate into tight turns. Its FCS II thruster fin setup is easy to swap out with other FCS fins and allows for snappy control. High density polyethylene slick top and bottom skins improve speed and stiffens the overall flex pattern to provide more drive, acceleration and turning response. Make the most of those mushy days with the buoyant, playful, and fun to ride Softech Kyuss Fish FCS II Surfboard."
25,"Smith Lowdown XL 2 Sunglasses",129,/images/smith-sunglasses.jpg,"Embrace the style, comfort, and performance built into this classic frame. This is who you are now.","The Smith Lowdown XL 2 Sunglasses are a contemporary adaptation of some of Smith s best selling frames. Made with the familiar silhouette of the Lowdown, these glasses come in XL size and non-slip nose pads to keep the new look comfortably secured to your face. A proprietary combination of patented polarization and color management technology creates incredible clarity. ChromaPop lenses maximize color and contrast by improving the speed of visual processing so you see truer color, faster."
26,"XCEL 4​/3 Drylock X Wetsuit",500,/images/xcel-wetsuit.jpg,"Go big or don't get in the water.","The XCEL 4/3 Drylock X Wetsuit gives you epic performance for shredding the faces off of surf when it's firing, with advanced Celliant Black lining for warmth, light and flexible Japanese limestone neoprene, and seals at the vulnerable places to help keep the icy water out. When you need the good-good, you need the XCEL 4/3 Drylock X Wetsuit. Unrivaled memory and rebound that is lighter, warmer, and softer than the average neoprene with 100% high-performance stretch for comfort and warmth."
27,"Stewart Hydro Hull Tuflite Surfboard",975,/images/stewart-surfboard.jpg,"The New Hydro Hull is the all-purpose surfboard for those seeking more waves, more fun and more performance.","Bill says this is the "best longboard" he's ever designed. Historically, the Hydro Hull has been Bill's top selling board worldwide. This next generation Hydro Hull has a modern trim rocker with a single to double concave bottom and is made with Surftech's proprietary Tuflite V-Tech construction process. These features are complimented by a beveled entry rail, which provides forgiveness as well as performance . The 2+1 fin configuration is another proven Bill Stewart innovation that's stood the test of time. The New Hydro Hull is the all-purpose surfboard for those seeking more waves, more fun and more performance."
